"pid","location","treatment","operation","anatomy"
"1"," 在胸外上方，前正中线旁开6寸，平第一肋间隙处。"," ①咳嗽，气喘，胸满痛；②肩背痛。"," 向外斜刺或平刺0．5～0．8寸，不可向内深刺，以免伤及肺脏、引起气胸。"," 当胸大肌、胸小肌处，内侧深层为第1肋间内、外肌；上外侧有腋动、静脉， 胸肩峰动、静脉；布有锁骨上神经中间支，胸前神经分支及第1肋间神经外侧皮支。"
"2"," 在胸外侧部，肩胛骨喙突上方，前正中线旁开６寸，锁骨下窝凹陷处。","①咳嗽，气喘，胸痛；②肩背痛。"," 向外斜刺０.５～０.８寸，不可向内深刺，以免伤及肺脏、引起气胸。"," 有胸大肌，皮下有头静脉通过，深部有胸肩峰动脉分支；布有胸前神经的分支臂丛外侧束、锁骨上神经中后支。"
"3","  肱二头肌桡侧缘，腋前纹头下３寸处。"," ①咳嗽，气喘，鼻衄；②瘿气；③上臂痛。"," 直刺0．5～l寸。","  肱二头肌外侧沟中；有头静脉及肱动、静脉分支；分布着臂外侧皮神经及肌皮神经。"
"4"," 肱二头肌桡侧缘，腋前纹头下４寸，或肘横纹上5寸处。"," ①咳嗽，气喘；②干呕；③上臂痛。"," 直刺0．5～l寸。"," 肱二头肌外侧沟中；当头静脉及桡动、静脉分支；分布有臂外侧皮神经，当肌皮神经经过处。"
"5"," 在肘横纹中，肱二头肌腱桡侧凹陷处。","①咳嗽，气喘，咳血，咽喉肿痛等肺疾；②肘臂挛痛；③急性吐泻，中暑，小儿惊风。"," 直刺0．8～1．2寸，或点刺出血，尤其用于治疗急性咽喉肿痛及急性吐泻、中暑、小儿惊风等。"," 在肘关节，当肘二头肌腱之外方，肱桡肌起始部；有桡侧返动、静脉分支及头静脉；布有前臂外侧皮神经，直下为桡神经。"
"6","  尺泽穴与太渊穴连线上，腕横纹上7寸处（。"," ①咳血，咳嗽，气喘，咽喉肿痛；②肘臂挛痛。"," 直刺0．5～l寸。","  有肱桡肌，在旋前圆肌上端之外缘，桡侧腕长、短伸肌的内缘；有头静脉、桡动、静脉；布有前臂外侧皮神经，桡神经浅支。"
"7"," 桡骨茎突上方，腕横纹上1．5寸，当肱桡肌与拇长展肌腱之间。 ","①咳嗽，气喘，咽喉肿痛；②头痛，齿痛，项强，口眼歪斜等头项疾患。"," 向上斜刺0.5～0.8寸。"," 在肱桡肌腱与拇长展肌腱之间，桡侧腕长伸肌腱内侧；有头静脉，桡动、静脉分支；布有前臂外侧皮神经和桡神经浅支的混合支。"
"8","  桡骨茎突与桡动脉之间凹陷处，腕横纹上 l寸。","①咳嗽，气喘，胸痛，咽喉肿痛；②手腕痛。"," 避开桡动脉，直刺0．3～0．5寸。","  桡侧腕屈肌腱的外侧，有旋前方肌当桡动、静脉外侧处；布有前臂外侧皮神经和桡神经浅支混合支。"
"9"," 在掌后腕横纹桡侧，桡动脉的桡侧凹陷中。"," ①咳嗽，气喘；②无脉症；③腕臂痛。"," 避开桡动脉，直刺0．3～0．5寸。"," 桡侧腕屈肌腱的外侧，拇展长肌腱内测；有桡动、静脉；布有前臂外侧皮神经和桡神经浅支混合支。"
"10","  第１掌骨中点，赤白肉际处。"," ①咳嗽，咳血；②咽干，咽喉肿痛，失音；③小儿疳积。"," 直刺0．5～0．8寸。治小儿疳积可用割治法。"," 有拇短展肌和拇指对掌肌；血管当拇指静脉回流支；布有前臂外侧皮神经和桡神经浅支混合支。"
"11"," 拇指桡侧指甲角旁0．1寸。","①咽喉肿痛，鼻衄；②高热，昏迷，癫狂。"," 浅刺0．1寸，或点刺出血。"," 有指掌固有动、静脉所形成的动、静脉网；布有前臂外侧皮神经和桡神经浅支混合支，正中神经的掌侧固有神经的末梢神经网。"
"12"," 食指桡侧指甲角旁0．1寸。","①齿痛，咽喉肿痛等五官疾患；②热病，昏迷。"," 浅刺0．1寸，或点刺出血。"," 有指及掌背动、静脉网；布有来自正中神经的指掌侧固有神经，桡神经的指背侧神经。"
"13"," 微握拳，当食指桡侧第2掌指关节前凹陷中。","①鼻衄，齿痛等五官疾患；②热病。"," 直刺0．2～0．3寸。"," 有指屈浅、深肌腱；有来自桡动脉的指背及掌侧动、静脉，布有桡神经的指背侧固有神经，正中神经的指掌侧固有神经。"
"14"," 微握拳，在食指桡侧第2掌指关节后凹陷处。","①齿痛，咽喉肿痛；②腹胀，肠鸣；③嗜睡。"," 直刺0.3～0.5寸。"," 有第一骨间背侧肌，深层为拇内收肌横头；有手背静脉网（头静脉其示部），指掌侧有固有动脉；布有桡神经浅支。"
"15"," 在手背，第１、２掌骨间，当第２掌骨桡侧的中点处。","①头痛，目赤肿痛，鼻衄，齿痛，口眼歪斜，耳聋等头面五官诸疾；②诸痛症；③热病，无汗，多汗；④经闭，滞产。"," 直刺0．5～l寸，针刺时手呈半握拳状。孕妇不宜针。"," 在第一、二掌骨之间，第一骨间背侧肌中，深层有拇收肌横头；有手背静脉网，为头静脉的起部，腧穴近侧正当桡动脉从手背穿向手掌之处；布有桡神经浅支的掌背侧神经，深部有正中神经的指掌侧固有神经。"
"16"," 腕背横纹桡侧，当拇短伸肌腱与拇长伸肌腱之间的凹陷中。"," ①手腕痛；②头痛，目赤肿痛，耳聋等头面五官疾患。"," 直刺0．5～0．8寸。"," 当拇短、长伸肌腱之间；有头静脉、桡动脉的腕背支；布有桡神经浅支。"
"17","  屈肘，在阳溪穴与曲池穴连线上，腕横纹上3寸处。","①耳鸣，鼻衄等五官疾患；②手臂酸痛；③腹部胀满，水肿。","  直刺或斜刺0．5～0．8寸。","  在桡骨远端，桡侧腕伸肌腱与拇长展肌腱之间；有头静脉；掌侧为前臂外侧皮神经和桡神经浅支，背侧为前臂背侧皮神经和前臂骨间背侧神经。"
"18","  屈肘，在阳溪穴与曲池穴连线上，腕横纹上5寸处。"," ①急性肠鸣腹痛；②疔疮；③头痛，面肿，咽喉肿痛；④肩背酸痛。"," 直刺0．5～l寸。","  在桡侧腕伸肌肌腹与拇长展肌之间；有桡动脉分支及头静脉；布有前臂背侧皮神经与桡神经深支。"
"19","  在阳溪穴与曲池穴连线上，肘横纹下4寸处。"," ①肘臂痛；②头痛，眩晕，目痛；③腹胀，腹痛。"," 直刺0．5～l寸。","  在桡骨的桡侧，桡侧有腕伸短肌及腕伸长肌，深层有旋后肌；有桡动脉分支；布有前臂背侧皮神经及桡神经深支。"
"20","  在阳溪穴与曲池穴连线上，肘横纹下３寸处。"," ①肘臂痛，半身不遂，手臂麻木；②头痛；③肠鸣腹痛。","  直刺0．5～l寸。","  在桡侧腕伸肌肌腹与拇长展肌之间；有桡动脉分支及头静脉；布有前臂背侧皮神经与桡神经深支。"
"21","  在阳溪穴与曲池穴连线上，肘横纹下２寸处。"," ①手臂无力，上肢不遂；②腹痛，腹泻；③齿痛，颊肿。","  直刺0．8～1．2寸。","  肌肉、神经同下廉穴，血管为桡返动脉的分支。"
"22"," 屈肘成直角，在肘横纹外侧端与肱骨外上髁连线中点。"," ①手臂痹痛，上肢不遂；②热病，高血压，癫狂；③腹痛，吐泻；④五官疼痛；⑤瘾疹，湿疹，瘰疬。"," 直刺0．5～l寸。"," 桡侧腕长伸肌起始部，肱桡肌的挠侧；有桡返动脉的分支；布有前臂背侧皮神经，内侧深层为桡神经本干。"
"23"," 屈肘，曲池穴外上方 l寸，当肱骨边缘处。"," 肘臂部疼痛、麻木、挛急。"," 直刺0．5～l寸。"," 在桡骨外上髁上缘肱肌起始部，肱三头肌外缘；有桡侧副动脉；布有前臂背侧皮神经及桡神经。"
"24","  在曲池穴与肩髃穴连线上，曲池穴上3寸处。","①肘臂挛痛；②瘰疬。"," 避开动脉，直刺0．5～l寸。"," 在肱骨桡侧，为肱桡肌起点，外侧为肱三头肌前缘；稍深为桡侧副动脉；布有前臂背侧皮神经，深层内侧为桡神经。"
"25"," 在曲池穴与肩髃穴连线上，曲池穴上7寸，三角肌止点处。"," ①肩臂疼痛不遂，颈项拘挛；②瘰疬；③目疾。"," 直刺或向上斜刺0．8～1．5寸。"," 在肱骨桡侧，三角肌下端，肱三头肌外侧头的前缘；有旋肱后动脉的分支及肱深动脉；布有前臂背侧皮神经，深层有桡神经本干。"
"26"," 肩峰端下缘，当肩峰与肱骨大结节之间，三角肌上部中央。臂外展或平举时，肩部出现两个凹陷，当肩峰前下方凹陷处。"," ①肩臂挛痛，上肢不遂；②瘾疹。","  直刺或向下斜刺0．8～1．5寸。肩周炎宜向肩关节直刺，上肢不遂宜向三角肌方向斜刺。"," 有旋肱后动、静脉；布有锁骨上神经，腋神经。"
"27","  在锁骨肩峰端与肩胛冈之间凹陷处。"," ①肩臂挛痛，臂不举；②瘰疬，瘿气。","  直刺，微斜向外下方，进针 0．5～l寸。 直刺不可过深，以免刺入胸腔造成气胸。","  在斜方肌与冈上肌中;深层有肩胛上动、静脉；布有锁骨上神经分支，副神经分支，深层有肩胛上神经。"
"28","  在胸锁乳突肌后缘，扶突穴直下1寸。"," ①暴喑气梗，咽喉肿痛；②瘰疬，瘿气。","  直刺0．5～0．8寸。","  在胸锁乳突肌下部后缘，浅层为颈阔肌，深层为中斜角肌起点；有颈外浅静脉;为副神经、颈皮神经在胸锁乳突肌后缘穿出处，深层为膈神经的起点。"
"29","  在结喉旁约3寸，当胸锁乳突肌的胸骨头与锁骨头之间。"," ①咽喉肿痛，暴喑；②瘿气，瘰疬；③咳嗽，气喘；④颈部手术针麻用穴。"," 直刺0．5～0．8寸。注意避开颈动脉，不可过深。一般不使用电针，以免引起迷走神经反应。","  在胸锁乳突肌胸骨头间颈阔肌中，深层为肩胛提肌起始点；深层内侧有颈升动脉；布有耳大神经，颈皮神经，枕小神经及副神经。"
"30","  在上唇部，水沟穴旁0.5寸，当鼻孔外缘直下。"," ①鼻塞，鼽衄；②口歪，口噤。","  直刺或斜刺0．3～0．5寸。","  在上颌骨犬齿窝部，上唇方肌止端；有面动、静脉的上唇支；布有面神经、三叉神经第二支下支与眶下神经的吻合丛。"
"31","  在鼻翼外缘中点旁开约0.5寸，当鼻唇沟中。"," ①鼻塞，鼽衄；②口歪；③胆道蛔虫症。","  略向内上方斜刺或平刺0．3～0．5寸。","  在上唇方肌中，深部为梨状孔的边缘; 有面动、静脉及眶下动、静脉分支；布有面神经与眶下神经的吻合丛。"
"32"," 目正视，瞳孔直下，当眼球与眶下缘之间。"," ①目疾；②口眼歪斜，面肌痉挛。"," 以左手拇指向上轻推眼球，紧靠眶缘缓慢直刺0．5～1．5寸，不宜提插，以防刺破血管引起血肿。出针时稍加按压，以防出血。"," 在眶下缘上方，眼轮匝肌中，深层眶内有眼球下直肌，下斜肌；有眶下动、静脉分支，眼动、静脉的分支；布有眶下神经分支及动眼神经下支的肌支，面神经分支。"
"33","  目正视，瞳孔直下，当眶下孔凹陷处。"," ①目疾；②口眼歪斜，三叉神经痛，面肌痉挛；③头痛，眩晕。","  直刺或微向上斜刺0．3～0．5寸，不可深刺，以免伤及眼球，不可过度提插捻转。","  在眶下孔处，当眼轮匝肌和上唇方肌之间； 有面动、静脉分支，眶下动、静脉；布有面神经分支，当眶下神经处。"
"34","  目正视，瞳孔直下，平鼻翼下缘处，当鼻唇沟外侧。"," ①口角歪斜；②鼻衄，齿痛，唇颊肿。","  斜刺或平刺0．3～0．5寸。","  浅层为上唇方肌，深层为犬齿肌；有面动、静脉及眶下动、静脉；布有面神经及眶下神经的分支。"
"35","  口角旁约0.4寸，上直对瞳孔。"," ①口角歪斜，流涎。②三叉神经痛。","  斜刺或平刺0．5～0．8寸。可向颊车穴透刺。","  在口轮匝肌中，深层为颊肌;有面动、静脉；布有面神经和眶下神经分支，深层为颊肌神经的末支。"
"36","  在下颌角前下方约1.3寸，咬肌附着部前缘。当闭口鼓气时，下颌角前下方出现一沟形的凹陷中取穴。","  口角歪斜，颊肿，齿痛。","  避开动脉，斜刺或平刺0．3～0．5寸。","  在咬肌附着部前缘;前方有面动、静脉；布有面神经及颊神经。"
"37","  在下颌角前上方约１横指，按之凹陷处，当咀嚼时咬肌隆起最高点处。"," ①齿痛，牙关不利，颊肿；②口角歪斜。","   直刺0．3～0．5寸，或平刺0．5～l寸。 可向地仓穴透刺。","  在下颌角前方，有咬肌；有咬肌动、静脉;布有耳大神经，面神经及咬肌神经。"
"38","  在耳屏前，下颌骨髁状突前方，当颧弓与下颌切迹所形成的凹陷中。合口有孔，张口即闭，宜闭口取穴。","  ①牙关不利，三叉神经痛，齿痛；②口眼歪斜；③耳聋，耳鸣，聤耳。","  直刺0．5～l寸。留针时不可作张口动作，以免折针。","  当颧弓下缘，皮下有腮腺，为咬肌起始部；有面横动、静脉，最深层为上颌动、静脉；正当面神经颧眶支及耳颞神经分支，最深层为下颌神经。"
"39","  当额角发际上0．5寸，头正中线旁4.5寸。","  ①头痛；②目眩，目痛。","  平刺0．5～l寸。","  在颞肌上缘帽状腱膜中；有颞浅动、静脉的额支；布有耳额神经的分支及面神经额颞支。"
"41","  在颈部，当人迎穴与气舍穴连线的中点，胸锁乳突肌的前缘。"," ①咽喉肿痛；②咳嗽，气喘。"," 直刺0．3～0．8寸。","  有颈阔肌，在甲状软骨外侧，胸锁乳突肌与肩胛舌骨肌上腹的交叉点；外侧为颈总动脉；布有颈皮神经，深层为交感神经发出的心上神经及交感干。"
"42","  人迎穴直下，在锁骨内侧端的上缘，胸锁乳突肌的胸骨头与锁骨头之间。"," ①咽喉肿痛，瘿瘤，瘰疬；②气喘，呃逆；③颈项强（见图3-17）。","  直刺0．3～0．5寸。本经气舍至乳根诸穴，深部有大动脉及肺、肝等重要脏器，不可深刺。","  有颈阔肌，胸锁乳突肌起始部；有颈前浅静脉，深部为颈总动脉；布有锁骨上神经前支，舌下神经的分支。"
"43","  在锁骨上窝中央，前正中线旁开4寸。"," ①咳嗽，气喘；②咽喉肿痛，缺盆中痛，瘰疬。","  直刺或斜刺0．3～0．5寸。《图翼》：孕妇禁针。","  在锁骨上窝之中点，有颈阔肌，肩胛舌骨肌；上方有颈横动脉；布有锁骨上神经中支，深层正当肩丛的锁骨上部。"
"44","  在锁骨下缘，前正中线旁开4寸。","  ①咳嗽，气喘，呃逆；②胸胁满痛。","  斜刺或平刺0．5～0．8寸。","  在锁骨下方，胸大肌起始部，深层上方的锁骨下肌；有胸肩峰动、静脉分支，外上方为锁骨下静脉；为锁骨上神经，胸前神经分支分布处。"
"45","  在第1肋间隙，前正中线旁开4寸。"," ①咳嗽，气喘，咳唾脓血；②胸肋胀痛。","  斜刺或平刺0．5～0．8寸。","  在第1肋间隙有胸大肌、胸小肌，深层为肋间内、外肌，有胸肩峰动、静减及胸外侧动、静脉分支；布有胸前神经分支。"
"46","  在第2肋间隙，前正中线旁开4寸。","  ①咳嗽，气喘，咳唾脓血；②胸肋胀痛；③乳痈。","  斜刺或平刺0．5～0．8寸。","  在第2肋间隙，有胸大肌，胸小肌，深层为肋间内外肌；有胸肩峰动、静脉分支；布有胸前神经分支。"
"47","  在第3肋间隙，前正中线旁开4寸。"," ①咳嗽，气喘；②胸肋胀痛；③乳痈。","  斜刺或平刺0．5～0．8寸。","  第3肋间隙，有胸大肌，深层为肋间内、外肌；有胸外侧动、静脉；布有胸前神经分支。"
"48","  在第4肋间隙，乳头中央。","null","null","null"
"49","  在第5肋间隙，当乳头直下，前正中线旁开４寸。"," ①乳痈，乳汁少；②咳嗽，气喘，呃逆；③胸痛。","  斜刺或平刺0．5～0．8寸。","  在第5肋间隙，胸大肌下部，深层有肋间内、外肌；有肋间动脉，胸壁浅静脉；有第五5肋间神经外侧皮支，深层为肋间神经干。"
"50","  脐中上6寸，前正中线旁开2寸。","  呕吐，胃痛，纳少，腹胀等胃疾。","  直刺0．5～0．8寸。过饱者禁针，肝肿大者慎针或禁针，不宜作大幅度提插。","  当腹直肌及其鞘处，深层为腹横肌；有第7肋间动、静脉分支及腹壁上动、静脉；当第7肋间神经分支处。"
"51","  脐中上5寸，前正中线旁开2寸。","  胃痛，吐血，纳少等胃疾。","  直刺0．8～l寸。过饱者禁针，肝肿大者慎针或禁针，不宜作大幅度提插。","  当腹直肌及其鞘处，深层为腹横肌；有第7肋间动、静脉分支及腹壁上动、静脉分布；当第7肋间神经分支处。"
"52","  脐中上4寸，前正中线旁开2寸。"," 纳少，胃痛，呕吐等胃疾。","  直刺0．8～1．2寸。过饱者禁针，肝肿大者慎针或禁针，不宜作大幅度提插。","  当腹直肌及其鞘处，深层为腹横肌；有第7肋间动、静脉分支及腹壁上动、静脉；当第8肋间神经分支处（右侧深部当肝下缘，胃幽门部）。"
"53","  脐中上3寸，前正中线旁开2寸。","  腹胀，腹痛，肠鸣腹泻等胃肠疾。","  直刺0．8～1．2寸。","  当腹直肌及其鞘处；有第8肋间动、静脉分支及腹壁上动、静脉分支；布有第8肋间神经分支（内部为横结肠）。"
"54","  脐中上2寸，前正中线旁开2寸。"," ①胃病；②心烦，癫狂。","  直刺0．8～1．2寸。","  当腹直肌及其鞘处；有第8肋间动、静脉分支及其腹壁下动、静脉分支；布有第8肋间神经分支（内部为横结肠）。"
"55","  脐中上1寸，前正中线旁开2寸。","  ①胃痛，呕吐；②癫狂。","  直刺0．8～1．2寸。","  当腹直肌及其鞘处；有第9肋间动、静脉分支及腹壁下动、静分支；布有第9肋间神经分支（内部为小肠）。"
"56","  脐中旁开2寸。"," ①腹痛，腹胀，便秘，腹泻，痢疾等胃肠病；②月经不调，痛经。","  直刺 l～1．5寸。《千金》：孕妇不可灸。","  当腹直肌及其鞘处；有第9肋间动、静脉分支及腹壁下动、静脉分支；布有第9肋间神经分支（内部为小肠）。"
"57","  脐中下1寸，前正中线旁开2寸。"," ①腹痛，疝气；②痛经。","  直刺 l～l．5寸。","  当腹直肌及其鞘处；布有第10肋间动、静脉分支及腹壁下动、静脉分支；布有第10肋间神经分支（内部为小肠）。"
"58","  脐中下2寸，前正中线旁开2寸。","  ①小腹胀满，小便不利，疝气；②遗精，早泄。","  直刺 l～1．5寸。","  当腹直肌及其鞘处；有第11肋间动、静脉分支，外侧为腹壁下动、静脉；布有第11肋间神经（内部为小肠）。"
"59","  脐中下3寸，前正中线旁开2寸。"," ①小腹胀满，小便不利，疝气；②痛经，不孕。","  直刺 l～1．5寸。","  当腹直肌及其鞘处；有第12肋间动、静脉分支，外侧为腹壁下动、静脉；布有第12肋间神经（内部为小肠）。"
"60","  脐中下4寸，前正中线旁开2寸。","  ①小腹痛，疝气；②月经不调，带下，阴挺。","   直刺 l～l．5寸。","  在腹直肌外缘，有腹内斜肌，腹横肌腱膜；外侧有腹壁下动、静脉；布有髂腹下神经。"
"61","  在腹股沟稍上方，脐中下5寸，前正中线旁开2寸。","  ①肠鸣腹痛，疝气；②月经不调，不孕，阳萎，阴肿。","  直刺0．5～l寸。","  在耻骨结节外上方，有腹外斜肌腱膜，在腹内斜肌、腹膜肌下部；有腹壁浅动、静脉分支，外壁为腹壁下动、静脉；布有髂腹股沟神经。"
"62","  在髂前上棘与髌骨外上缘连线上，屈髋时平会阴，居缝匠肌外侧凹陷处。","  下肢痿痹，腰痛膝冷。","  直刺 l～2寸。","  在缝匠肌和阔筋膜张肌之间；深层有旋股外侧动、静脉分支；布有股外侧皮神经。"
"63","  在髂前上棘与髌骨外上缘连线上，髌骨外上缘上6寸。"," ①下肢痿痹，腰痛膝冷；②疝气，脚气。","  直刺 l～2寸。","  在股直肌的肌腹中有旋股外侧动、静脉分支；布有股前皮神经，股外侧皮神经."
"64","  在髂前上棘与髌骨外上缘连线上，髌骨外上缘上3寸。"," ①下肢痿痹，膝关节屈伸不利；②疝气。","  直刺 l～l．5寸。","  在股直肌和股外侧肌之间；有旋股外侧动脉降支；布有股前皮神经，股外侧皮神经。"
"65","  屈膝，在髂前上棘与髌骨外上缘连线上，髌骨外上缘上3寸。"," ①膝肿痛，下肢不遂；②急性胃痛，乳痈，乳痛。","   直刺 l～1．2寸。","  在股直肌和股外侧肌之间；有旋股外侧动脉降支；布有股前皮神经，股外侧皮神经。"
"66","  屈膝，在髌韧带外侧凹陷中。 又名外膝眼。","  膝痛，屈伸不利，下肢麻痹。","   向后内斜刺0．5～l寸。","  在髌韧带外缘；有膝关节动、静脉网；布有腓肠外侧皮神经及腓总神经关节支。"
"67","  犊鼻穴下3寸，胫骨前嵴外一横指处。","  ①胃痛，呕吐，噎膈，腹胀，腹泻，痢疾，便秘等胃肠诸疾；②下肢痿痹；③心悸，高血压，癫狂；④乳痈；⑤虚劳诸症，为强壮保健要穴。","   直刺1～2寸。强壮保健用，常用温灸法。","  在胫骨前肌，趾长伸肌之间；有胫前动、静脉；为腓肠外侧皮神经及隐神经的 皮支分布处，深层当腓深神经。"
"68","  在犊鼻穴下6寸，足三里穴下3寸。"," ①肠鸣，腹痛，腹泻，便秘，肠痈等肠胃疾患；②下肢痿痹。","  直刺 l～2寸。","  在胫骨前肌中；有胫前动、静脉；布有腓肠外侧皮神经及隐神经的皮支，深层当腓深神经。"
"69","  上巨虚穴下2寸。"," ①下肢痿痹，转筋；②肩臂痛；③脘腹疼痛。","   直刺 l～1．5寸。","  在胫骨前肌中；有胫前动、静脉；布有腓肠外侧皮神经及隐神经的皮支，深层当腓深神经。"
"70","  上巨虚穴下3寸。"," ①腹泻，痢疾，小腹痛；②下肢痿痹；③乳痈。","  直刺l～1．5寸。","  在胫骨前肌与趾长伸肌之间，深层为胫长伸肌；有胫前动、静脉；布有腓浅神经分支，深层为腓深神经。"
"71","  外踝尖上８寸，条口穴外1寸，胫骨前嵴外二横指处。"," ①头痛，眩晕，癫狂；②咳嗽痰多；③下肢痿痹。","  直刺l～1．5寸。","  在趾长伸肌外侧和腓骨短肌之间；有胫前动脉分支；当腓浅神经处。"
"72","  足背踝关节横纹中央凹陷处，当拇长伸肌踺与趾长伸肌腱之间。"," ①下肢痿痹，踝关节病，垂足；②头痛，眩晕，癫狂；③腹胀，便秘。","  直刺0．5～l寸。"," 在拇长伸肌膜与趾长伸肌胫之间；有胫前动、静脉；浅部当腓浅神经，深层当腓深神经。"
"73","  在足背最高处，当拇长伸肌腱和趾长伸肌腱之间，足背动脉搏动处。","  ①胃痛；②口眼歪斜；③癫狂痫；④足痿无力。","  避开动脉，直刺0．3～0．5寸。","  在趾长伸肌腱外侧；有足背动、静脉及足背静脉网；当腓浅神经的足背内侧皮神经第2支本干处，深层为腓深神经。"
"74","  足背第2、3跖骨结合部前，第2、3跖趾关节后凹陷处。"," ①面肿，水肿；②足背肿痛；③肠鸣腹痛。","  直刺或斜刺0．3～0．5寸。","  有第2跖骨间肌；有足背静脉网；布有足背内侧皮神经。"
"75","  足背第２、３趾间缝纹端。"," ①齿痛，咽喉肿痛，鼻衄；②热病；③胃病吐酸，腹泻，痢疾，便秘；④足背肿痛，跖趾关节痛。","   直刺或斜刺0．5～0．8寸。","  有足背静脉网；布有腓浅神经足背支。"
"76","  第２趾外侧趾甲角旁约0.1寸。","  ①鼻衄，齿痛，咽喉肿痛；②热病，多梦，癫狂。","   浅刺0．1寸。","  有趾背动脉形成的动脉网；布有腓浅神经的足背支。"
"77"," 足大趾内侧趾甲角旁0．1寸。"," ①月经过多，崩漏；②便血，尿血等慢性出血；③癫狂，多梦，惊风。④腹满，暴泄。","  浅刺0．1寸。"," 有趾背动脉；为腓浅神经的足背支及足底内侧神经。"
"78","  足大趾内侧，第１跖趾关节前下方，赤白肉际处。"," ①腹胀，胃痛，呕吐，腹泻，便秘；②热病，无汗。","  直刺0．3～0．5寸。","  在拇展肌止点；有足底内侧动、静脉的分支；布有足底内侧神经的趾底固有神经。"
