"pid","location","treatment","operation","anatomy"
"79","  第１跖骨小头后缘，赤白肉际凹陷处。","  ①肠鸣，腹胀，腹泻，胃痛，便秘；②体重节痛。","  直刺0．5～0．8寸。","  在拇展肌中；有足背静脉网，足底内侧动脉及足跗内侧动脉分支；布有隐神经及腓浅神经分支。"
"80","  第一跖骨基底部的前下方，赤白肉际处。"," 胃痛，呕吐，腹痛，腹泻，痢疾。","  直刺0．6～1．2寸。","  在拇展肌中；有跗内侧动脉分支及足背静脉网；布有隐神经及腓浅神经分支。"
"81","  内踝前下方凹陷中，当舟骨结节与内踝尖连线的中点处。"," ①腹胀，腹泻，便秘，黄疸；②足踝痛。","  直刺0．5～0．8寸。","  有跗内侧动脉，大隐静脉；布有隐神经及腓浅神经分支丛。"
"82","  内踝尖上3寸，胫骨内侧面后缘。","  ①肠鸣腹胀，腹泻等脾胃虚弱诸症；②月经不调，带下，阴挺，不孕，滞产，遗精，阳萎，遗尿等生殖泌尿系统疾患；③心悸，失眠，高血压；④下肢痿痹；⑤阴虚诸症。"," 直刺 l～1．5寸。孕妇禁针。","  在胫骨后缘和比目鱼肌之间，深层有屈趾长肌；有大隐静脉，胫后动、静脉；有小腿内侧皮神经，深层后方有胫神经。"
"83","  在内踝尖与阴陵泉的连线上，内踝尖上6寸。","  ①腹胀，肠鸣；②小便不利，遗精；③下肢痿痹。","  直刺 l～1．5寸。","  在胫骨后缘与比目鱼肌之间，深层有屈趾长肌；有大隐静脉，肢后动、静脉；有小腿内侧皮神经，深层内侧后方有胫神经。"
"84","  在内踝尖与阴陵泉穴的连线上，阴陵泉穴下3寸。","  ①痛经，崩漏，月经不调；②腹痛，腹泻，小便不利，水肿。","  直刺 l～1．5寸。","  在胫骨后缘与比目鱼肌之间；前方有大隐静脉及膝最上动脉的末支，深层有胫后动、静脉；布有小腿内侧皮神经，深层后方有胫神经。"
"85","  胫骨内侧髁下方凹陷处。"," ①腹胀，腹泻，水肿，黄疸，小便不利；②膝痛。","  直刺1～2寸。","  在胫骨后缘和腓肠肌之间，比目鱼肌起点上；前方有大隐静脉，膝最上动脉，最深层有胫后动、静脉；布有小腿内侧皮神经本干，最深层有胫神经。"
"86","  屈膝，在髌骨内上缘上2寸，当股四头肌内侧头的隆起处。"," ①月经不调，痛经，经闭；②瘾疹，湿疹，丹毒。"," 直刺 l～1．5寸。","  在股骨内上髁上缘，股内侧肌中间；有股动、静脉肌支；布有股前皮神经及股神经肌支。"
"87","  在血海穴与冲门穴的连线上，血海穴直上6寸。","  ①小便不利，遗尿；②腹股沟肿痛。","  避开动脉，直刺0．5～l寸。","  在缝匠肌内侧缘 ，深层有大收肌；有大隐静脉，深层之外方有股动、静脉；布有股前皮神经，深部有隐神经。"
"88","  在腹股沟外侧，距耻骨联合上缘中点3．5寸，当髂外动脉搏动处的外侧。","  腹痛，疝气，崩漏，带下。","  避开动脉，直刺0．5～l寸。","  在腹股沟韧带中点外侧的上方，在腹外斜肌腱膜及内斜肌下部；内侧为股动、静脉；布有股神经。"
"89","  冲门穴上方0．7寸，前正中线旁开4寸。","  腹痛，积聚，疝气。","  直刺 l～1．5寸。","  在腹股沟韧带上方外侧，腹外斜肌腱膜及腹内斜肌下部，深层为腹横肌下部；布有腹壁浅动脉，肋间动、静脉；布有髂腹股沟神经（右当盲肠下部，左当乙状结肠下部）。"
"90","  府舍穴上3寸，大横穴下1寸。","  腹痛，腹泻，疝气。"," 直刺 l～2寸。","  在腹内、外斜肌及腹横肌肌部；有第11肋间动、静脉；布有第11肋间神经。"
"91","  脐中旁开4寸。","  腹痛，腹泻，便秘。","  直刺 l～2寸。","  在腹外斜肌肌部及腹横肌肌部；布有第11肋间动、静脉；布有第12肋间神经。"
"92","  脐中上3寸，前正中线旁开4寸。","  消化不良，腹痛，便秘，痢疾。","  直刺 l～1．5寸。","  在腹内外斜肌及腹横肌肌部；布有第8肋间动、静脉；布有第8肋间神经。"
"93","  在第5肋间隙，前正中线旁开6寸。","  ①胸胁胀痛；②噫气，翻胃，腹胀，水肿。","  斜刺或向外平刺0.5～0.8寸。本经食窦至大包诸穴，深部为肺脏，不可深刺。","  在第5肋间隙，前锯肌中，深层有肋间内、外肌；布有胸外侧动、静脉，胸腹壁动、静脉；布有第5肋间神经外侧皮支。"
"94","  在第4肋间隙，前正中线旁开6寸。","  ①胸胁疼痛，咳嗽；②乳痈，乳汁少。","   斜刺或向外平刺0．5～0．8寸。","  在第4肋间隙，胸大肌外下缘，下层为前锯肌，再深层为肋间内、外肌；有胸外侧动、静脉分支，胸腹壁动、静脉；第4肋间动、静脉；布有第四肋间神经。"
"95","  在第3肋间隙，前正中线旁开6寸。","  胸胁胀痛。","  斜刺或向外平刺0．5～0．8寸。","  在第3肋间隙，胸大肌、胸小肌外缘，前锯肌中，下层为肋间内、外肌；有胸外侧动、静脉，第3肋间动、静脉；布有第3肋间神经。"
"96","  在第2肋间隙，前正中线旁开6寸。","  ①咳嗽，气逆；②胸胁胀满。","  斜刺或向外平刺0．5～0．8寸。","  在第2肋间隙，胸大肌中，下层为胸小肌，肋间内、外肌；有胸外侧动、静脉，第2肋间动、静脉；布有胸前神经分支，正当第1肋间神经。"
"97","  在侧胸部腋中线上，当第6肋间隙处。","  ①气喘；②胸胁痛；③全身疼痛，急性扭伤，四肢无力。","   斜刺或向后平刺0．5～0．8寸。","  在第6肋间隙，前锯肌中；有胸背动、静脉及第6肋间动、静脉；布有第6肋间神经，当胸长神经直系的末端。"
"98","  腋窝正中，腋动脉搏动处。"," ①心痛，心悸；②肩臂疼痛，胁肋疼痛，臂丛神经损伤。③瘰疬，腋臭；④上肢针麻用穴。","  避开腋动脉，直刺或斜刺0．3～0．5寸。","  在胸大肌的外下缘，深层为喙肱肌；外侧为腋动脉；布有尺神经，正中神经，前臂内侧皮神经及臂内侧皮神经。"
"99","  臂内侧，在极泉穴与少海穴的连线上，肘横纹上3寸，肱二头肌的尺侧缘。"," ①头痛，振寒，目黄；②胁痛，肩臂疼痛。","   直刺0．5～l寸。","  当肱二头肌内侧沟处，有肱三头肌；有贵要静脉，尺侧上副动脉；布有前臂内侧皮神经，尺神经。"
"100","  屈肘，当肘横纹内侧端与肱骨内上髁连线的中点处。"," ①心痛，癔病；②肘臂挛痛，臂麻手颤，头项痛，腋胁痛；③瘰疬。","  直刺0．5～l寸。","  有旋前圆肌，肱肌；有贵要静脉，尺侧上下副动脉，尺返动脉；布有前臂内侧皮神经，外前方有正中神经。"
"101","  腕横纹上1．5寸，尺侧腕屈肌腱的桡侧缘。"," ①心痛，悲恐善笑；②暴喑；③肘臂挛痛。","  直刺0．3～0．5寸。不宜深刺，以免伤及血管和神经。留针时，不可作屈腕动作。","  在尺侧腕屈肌与指浅屈肌之间，深层为指深屈肌；有尺动脉通过；布有前臂内侧皮神经，尺侧为尺神经。"
"102","  腕横纹上 1寸，尺侧腕屈肌腱的桡侧缘。"," ① 心悸，怔仲；②舌强不语，暴喑；③腕臂痛。","  直刺0．3～0．5寸。不宜深刺，以免伤及血管和神经。留针时，不可作屈腕动作。","  在尺侧腕屈肌与指浅屈肌之间，深层为指深屈肌；有尺动脉通过；布有前臂内侧皮神经，尺侧为尺神经。"
"103","  腕横纹上0.5寸，尺侧腕屈肌腱的桡侧缘。"," ① 心痛，惊悸；②骨蒸盗汗；③吐血，衄血。","   直刺0．3～0．5寸。不宜深刺，以免伤及血管和神经。留针时，不可作屈腕动作。","  在尺侧腕屈肌与指浅屈肌之间，深层为指深屈肌；有尺动脉通过；布有前臂内侧皮神经，尺侧为尺神经。"
"104","  腕横纹尺侧端，尺侧腕屈肌腱的桡侧凹陷处。","  ①心痛，心烦，惊悸，怔仲，健忘，失眠，痴呆，癫狂痫等心与神志病变；②高血压；③胸胁痛。","  直刺0．3～0.5寸。","  在尺侧腕屈肌与指浅屈肌之间，深层为指深屈肌；有尺动脉通过；布有前臂内侧皮神经，尺侧为尺神经。"
"105","  在手掌面，第4、5掌骨之间，握拳时当小指与无名指指端之间。","  ①心悸，胸痛；②阴痒，阴痛；③痈疡；④小指挛痛。","  直刺0．3～0．5寸。","  在第4、5掌骨间，有第4蚓状肌，指浅、深屈肌腱，深部为骨间肌；有指掌侧总动、静脉；布有第4指掌侧固有神经。"
"106","  小指桡侧指甲角旁0．1寸。"," ① 心悸，心痛，癫狂；②热病，昏迷。③胸胁痛。","  浅刺0．1寸，或点刺出血。","  有指掌侧固有动、静脉所形成的动、静脉网；布有指掌侧固有神经。"
"107","  小指尺侧指甲角旁0．l寸。"," ①乳痈，乳汁少；②昏迷，热病；③ 头痛，目翳，咽喉肿痛。","   浅刺0．1寸或点刺出血。 孕妇慎用。","  有指掌侧固有动、静脉，指背动脉形成的动、静脉网；布有尺神经手背支。"
"108","  微握拳，第5指掌关节前尺侧，掌指横纹头赤白肉际。"," ①热病；②乳痈，乳汁少；③头痛，目痛，耳鸣，咽喉肿痛。","  直刺0．3～0．5寸。","  有指背动、静脉；布有尺神经手背支。"
"109","  微握拳，第5指掌关节后尺侧的远侧掌横纹头赤白肉际。","  ①头项强痛，腰背痛，手指及肘臂挛痛；②耳聋，目赤；③癫狂痫；④疟疾。","  直刺0．5～l寸。治手指挛痛可透刺合谷穴。","  在小指尺侧，第5掌骨小头后方，当小指展肌起点外缘；有指背动、静脉，手背静脉网；布有尺神经手背支。"
"110","  第5掌骨基底与三角骨之间的凹陷处，赤白肉际。"," ①指挛腕痛，头项强痛；②目翳，黄疸；③热病，疟疾。","  直刺0．3～0．5寸。","  在手背尺侧，小指展肌起点外缘；有腕背侧动脉（尺动脉分支），手背静脉网；布有尺神经手背支。"
"111","  腕背横纹尺侧端，当尺骨茎突与三角骨之间的凹陷处。"," ①颈颔肿，臂外侧痛，腕痛；②头痛，目眩，耳鸣，耳聋；③热病，癫狂痫。","  直刺0．3～0．5寸。","  当尺侧腕伸肌腱的尺侧缘；有腕背侧动脉；布有尺神经手背支。"
"112","  以手掌面向胸，当尺骨茎突桡侧骨缝凹缘中。"," ①目视不明；②肩、背、肘、臂酸痛。","   直刺或斜刺0．5～0．8寸。强身保健可用温和灸。","  左尺骨背面，尺骨茎突上方，尺侧腕伸肌腱和小指固有伸肌腱之间；布有前臂骨间背侧动、静脉的末支，腕静脉网；有前臂背侧皮神经和尺神经。"
"113","  阳谷穴与小海穴的连线上，腕背横纹上5寸。","  ①头痛，项强，肘臂酸痛；②热病，癫狂；③疣症。","  直刺或斜刺0．５～0．8寸。","  在尺骨背面，尺侧腕伸肌的尺侧缘；布有骨间背侧动、静脉；布有前臂内侧皮神经分支。"
"114","  屈肘，当尺骨鹰嘴与肱骨内上髁之间凹陷处。"," ①肘臂疼痛，麻木；②癫痫。","  直刺0．3～0．5寸。","  尺神经沟中，为尺侧腕屈肌的起始部；有尺侧上、下副动脉和副静脉以及尺返动、静脉；布有前臂内侧皮神经，尺神经本干。"
"115","  臂内收，腋后纹头上l寸。"," ①肩臂疼痛，上肢不遂；②瘰疬。","  直刺 l～1．5寸。不宜向胸侧深刺。","  在肩关节后下方，肩胛骨外侧缘，三角肌后缘，下层是大圆肌；有旋肩胛动、静脉；布有腋神经分支，最深部上方为桡神经。"
"116","  臂内收，腋后纹头直上，肩胛冈下缘凹陷中。"," ①肩臂疼痛，肩不举；②瘰疬。","  直刺或斜刺0．5～1．5寸。不宜向胸侧深刺。","  在肩胛骨关节窝后方三角肌中，深层为岗下肌；有旋肱后动、静脉；布有腋神经，深层为肩胛上神经。"
"117","  肩胛骨冈下窝中央凹陷处，约肩胛冈下缘与肩胛下角之间的上1/3折点处取穴。","  ①肩胛疼痛，肩背部损伤；②气喘。","  直刺或斜刺0．5～l寸。遇到阻力不可强行进针。","  在冈下窝中央冈下肌中；有旋肩胛动、静脉肌支；布有肩胛神经。"
"118","  肩胛骨冈上窝中央，天宗穴直上，举臂有凹陷处。","  肩胛疼痛，上肢酸麻。","  直刺或斜刺0．5～l寸。 宜向锁骨上窝上方刺，不宜向胸部深刺。","  在肩胛冈上缘中央，表层为斜方肌，再下为冈上肌；有肩胛动、静脉；布有锁骨上神经和副神经，深层为肩胛上神经。"
"119","  肩胛骨冈上窝内侧端，在臑俞穴与第2胸椎棘突连线的中点处。","  肩胛疼痛。","  直刺或斜刺0．5～l寸。宜向锁骨上窝上方刺，不宜向胸部深刺。","  在肩胛冈上缘，斜方肌和冈上肌中；有颈横动、静脉降支，深层为肩胛上动、静脉肌支；布有第2胸神经后支外侧皮支、副神经，深层为肩胛上神经肌支。"
"120","  第1胸椎棘突下旁开3寸。","  肩背疼痛，颈项强急。","  斜刺0．5～0．8寸。 不宜深刺。","  在肩胛骨内侧角边缘，表层为斜方肌，深层为肩胛提肌和菱形肌；有颈横动、静脉，布有第1神经后支内侧皮支，肩胛背神经和副神经。"
"121","  第7颈椎棘突下旁开2寸。"," ①咳嗽，气喘；②肩背疼痛。","  斜刺0．5～0．8寸。 不宜深刺。","  在第1胸椎横突端，在肩胛骨内侧角边缘， 表层为斜方肌，深层为肩胛提肌和菱形肌；有颈横动、静脉；布有第1胸神经后支内侧皮支，肩胛神经和副神经。"
"122","  扶突穴后，在胸锁乳突肌的后缘，约喉结旁开3.5寸。"," ①耳鸣，耳聋，咽喉肿痛，暴喑；②颈项强痛。","  直刺0．5～l寸。","  在斜方肌前缘，肩胛提肌后缘，深层为头夹肌；有耳后动、静脉及枕动、静脉分支；布有颈皮神经，正当耳大神经丛的发出部及枕小神经。"
"123","  在下颌角的后方，胸锁乳突肌的前缘凹陷中。"," ①耳鸣，耳聋，咽喉肿痛；②头痛，颈项强痛。","  直刺0．5～l寸。注意避开血管。","  在下颌角后方，胸锁乳突肌停止部前缘，二腹肌后腹的下缘；前方有颈外浅静脉、颈内动、静脉；布有耳大神经的前支，面神经的颈支、副神经，其深层为交感神经于的颈上神经节。"
"124","  目外眦直下，颧骨下缘凹陷处。","  口眼歪斜，眼睑目闰 动，齿痛，三叉神经痛。","  直刺0．3～0．5寸，斜刺或平刺0．5～l寸。","  在颧骨下颌突的后下缘稍后，咬肌的起始部，颧肌中；有面横动、静分支；布有面神经及眶下神经。"
"125"," 耳屏前，下颌骨髁状突的后方，张口时呈凹陷处。"," ①耳鸣，耳聋，聤耳等诸耳疾；②齿痛。","  张口，直刺 l～1．5寸。 留针时应保持一定的张口姿势。","  有颞浅动、静脉的耳前支；布有面神经及三叉神经的第3支的耳颞神经。"
"127","  眉头凹陷中，约在目内眦直上。"," ①头痛，眉棱骨痛；②眼睑目闰 动，眼睑下垂，口眼歪斜，目视不明，流泪，目赤肿痛；③呃逆。","  可向眉中或向眼眶内缘平刺或斜刺0．5～0．8寸。禁灸。","  有额肌及皱眉肌；当额动、静脉处；布有额神经内侧支。"
"128","  攒竹穴直上，入发际0.5寸。","  ①头痛，目眩；②鼻塞，鼻衄。","  平刺0．3～0．5寸。","  有额肌；当额动、静脉处；布有额神经内侧支。"
"129","  前发际正中直上0.5寸（神庭穴），旁开1.5寸，即神庭与头维连线的内1/3与中1/3交点。","  ①头痛，目眩；②鼻塞，鼻衄。","  平刺0．5～0．8寸。","  有额肌；当额动、静脉处；布有额神经内侧支。"
"130"," 发际正中直上1寸，旁开1.5寸，即曲差穴上0.5寸。"," ①头痛，目眩；②癫痫。"," 平刺0．5～0．8寸。"," 有额肌；当额动、静脉处；布有额神经内侧支。"
"131","  前发际正中直上2.5寸，旁开1.5寸，即五处穴后1.5寸。"," ①头痛，目眩；②鼻塞；③热病。","  平刺0．3～0．5寸。","  有帽状腱膜；有额动、静脉，颞浅动、静脉及枕动、静脉的吻合网；当额神经外侧支和枕大神经会合支处。"
"132","  前发际正中直上4寸，旁开1.5寸，即承光穴后1.5寸。","  ①头痛，眩晕；②鼻塞，鼻衄，鼻渊。","  平刺0．3～0．5寸。","  有帽状腱膜；有颞浅动、静脉和枕动、 静脉的吻合网；布有枕大神经分支。"
"133","  前发际正中直上5.5寸，旁开1.5寸，即通天穴后1.5寸。","  头晕，目视不明，耳鸣。","  平刺0．3～0．5寸。","  在枕肌停止处；有枕动、静脉分支；布有枕大 神经分支。"
"134","  后发际正中直上2.5寸，旁开1.3寸，约平枕外粗隆上缘的凹陷处。","  ①头项痛，目痛；②鼻塞。","  平刺0．3～0．5寸。","  有枕肌；有枕动、静脉；布有枕大神经分支。"
"135","  后发际正中直上0.5寸（哑门穴），旁开1.3寸，当斜方肌外缘凹陷中。","  ①后头痛，项强，肩背腰痛；②鼻塞；③癫狂痫，热病。"," 直刺或斜刺0．5～0．8寸，不可向内上方深刺，以免伤及延髓。","  在斜方肌起部，深层为头半棘肌：有枕动、静脉干；布有枕大神经干。"
"136","  第１胸椎棘突下，旁开1.5寸。","  ①咳嗽；②项强，肩背痛。","  斜刺0．5～0．8寸。本经背部诸穴，不宜深刺， 以免伤及内部重要脏器。","  有斜方肌，菱形肌，上后锯肌，最深层为最长肌；有第1肋间动、静脉后支布有第1胸神经后支的皮支，深层为第1胸神经后支外侧支。"
"137","  第2胸椎棘突下，旁开1.5寸。","  ①感冒，咳嗽，发热，头痛；②项强，胸背痛。","   斜刺0．5～0．8寸。","  有斜方肌，菱形肌，上后锯肌，深层为最肌；有第2肋间动、静脉后支；布有2、3胸神经后支的皮支，深层为第3胸神经后支外侧支。"
"138","  第3胸椎棘突下，旁开1.5寸。","  ①咳嗽，气喘，咯血等肺疾；②骨蒸潮热，盗汗。","  斜刺0．5～0．8寸","  有斜方肌、菱形肌，深层为最长肌；有第3肋间动、静脉后支；布有第3或第4胸神经后支的皮支，深层为第3胸神经后支外侧支。"
"139","  第4胸椎棘突下，旁开1.5寸。","  ①心痛，心悸；②咳嗽，胸闷；③呕吐。","  斜刺0．5～0．8寸。","  有斜方肌、菱形肌，深层为最长肌；布有第4肋间动、静脉后支；正当第4或第5胸神经后支的皮支，深层为第4胸神经后支外侧支。"
"140","  第5胸椎棘突下，旁开1.5寸。"," ①心痛，惊悸，失眠，健忘，癫痫，盗汗等心与神志病变；②咳嗽，吐血。","  斜刺0．5～0．8寸。","  有斜方肌，菱形肌，深层为最长肌；有第5肋间动、静脉后支；布有第5或第6胸神经后支的皮支，深层为第5胸神经后支外侧支。"
"141","  第6胸椎棘突下，旁开1.5寸。","  ①心痛，胸闷；②寒热、气喘。","  斜刺0．5～0．8寸。","  有斜方肌，背阔肌肌腱，最长肌；有第6肋间动、静脉后支，颈横动脉降支；布有肩胛背神经，第6或第7胸神经后支的皮支，深层为第6胸神经后支外侧支。"
"142","  第7胸椎棘突下，旁开1.5寸。"," ①呕吐，呃逆，气喘，吐血等上逆之症；②贫血；③瘾疹，皮肤瘙痒；④潮热，盗汗。","  斜刺0．5～0．8寸。","  在斜方肌下缘，有背阔肌，最长肌；布有第7肋间动、静脉后支；布有第7或第8胸神经后支的皮支，深层为第7胸神经后支外侧支。"
"143","  第9胸椎棘突下，旁开1.5寸。"," ①肝疾，胁痛，目疾；②癫狂痫；③脊背痛。"," 斜刺0．5～0．8寸。","  在背阔肌，最长肌和髂肋肌之间；有第9肋间动、静脉后支；布有第9或第10胸神经后支的皮支，深层为第9胸神经后支外侧支。"
"144","  第10胸椎棘突下，旁开1.5寸。","  ①黄疸，口苦，胁痛等肝胆疾患；②肺痨，潮热。","  斜刺0．5～0．8寸。","  在背阔肌，最长肌和腱肋肌之间；有第10肋间动、静脉后支；布有第10胸神经后支的皮支，深层为第10胸神经后支的外侧支。"
"145","  第11胸椎棘突下，旁开1.5寸。","  ①腹胀，纳呆，呕吐，腹泻，痢疾，便血，水肿等脾胃疾患；②背痛。","  斜刺0．5～0．8寸。","  在背阔肌，最长肌和髂肋肌之间；有第11肋间动、静脉后支；布有第11胸神经后支的皮支，深层为第11胸神经后支肌支。"
"146","  第12胸椎棘突下，旁开1.5寸。","  胃脘痛，呕吐，腹胀，肠鸣等胃疾。","  斜刺0．5～0．8寸。","  在腰背筋膜，最长肌和髂肋肌之间；有肋下动、静脉后支；布有第12胸神经后支的皮支，深层为第12胸神经后支外侧支。"
"147","  第1腰椎棘突下，旁开1.5寸。","  ①肠鸣，腹胀，呕吐，腹泻，痢疾，水肿等脾胃疾患；②腰背强痛。"," 直刺0．5～l寸。","  在腰背筋膜，最长肌和髂肋肌之间；有第1腰动、静脉后支；布有第12神经后支的皮支，深层为第1腰神经后支外侧支。"
"148","  第2腰椎棘突下，旁开1.5寸。","  ①腰痛；②遗尿，遗精，阳萎，月经不调，带下等生殖泌尿系疾患。③耳鸣，耳聋。","  直刺0．5～l寸。","  在腰背筋膜，最长肌和髂肋肌之间：有第2腰动、静脉后支；布有第1腰神经后支的外侧支，深层为第1腰丛。"
"149","  第3腰椎棘突下，旁开1.5寸。"," ①肠鸣腹胀；②痛经，腰痛。","  直刺0．5～1寸。","  在腰背筋膜，最长肌和髂肋肌之间；有第2腰动、静脉后支；布有第2腰神经后支的外侧支，深层为第1腰丛。"
"150","  第4腰椎棘突下，旁开1.5寸。","  ①腰腿痛；②腹胀，腹泻，便秘。","   直刺0.8～1.2寸。","  在腰背筋膜，最长肌和髂肋肌之间；有第4腰动、静脉后支；布有第3腰神经皮支，深层为腰丛。"
"151","  第5腰椎棘突下，旁开1.5寸。","  ①腹胀、腹泻；②腰骶痛；③小便频数或不利，遗尿。","  直刺0.8～l.2寸。","  有骶棘肌，有腰最下动、静脉后支的内侧支；布有第5腰神经后支。"
"152"," 第1骶椎棘突下，旁开1.5寸，约平第１骶后孔。"," ①遗精，遗尿，尿血，尿痛，带下；②腹泻，痢疾，疝气；③腰骶痛。"," 直刺或斜刺0.8～1寸。"," 在骶髂肌起始部和臀大肌起始部之间；有骶外侧动、静脉后支的外侧支；布有第1骶神经后支外侧支，第5腰神经后支。"
"153","   第2骶椎棘突下，旁开1.5寸，约平第２骶后孔。","  ①小便不利，遗尿；②腰骶痛；③腹泻，便秘。","  直刺或斜刺0.8～l.2寸。","  在骶棘肌起部和臀大肌起部之间；有骶外侧动、静脉后支；布有臀中皮神经分支。"
"154","  第3骶椎棘突下，旁开1.5寸，约平第3骶后孔。"," ①腹泻，疝气；②腰骶痛。"," 直刺 l～1．5寸。","  有臀大肌，深层为骶结节韧带起始部；当臀下动、静脉的分支处，布有臀下皮神经。"
"155","  第4骶椎棘突下，旁开1.5寸，约平第4骶后孔。"," ①遗尿，遗精，月经不调，带下，疝气；②腰骶痛。","   直刺 1～1．5寸。","  在臀大肌，骶结节韧带下内缘；有臀下动、静脉，深层为阴部内动、静脉；布有皮神经，深层为阴部神经。"
"156","  第１骶后孔中，约当髂后上棘与后正中线之间。","  ①大小便不利，月经不调，带下，阴挺，遗精，阳萎；②腰骶痛。","   直刺 l～1．5寸。","  在骶棘肌起始部及臀大肌起始部；当额外侧动、静脉后支处；布有第1髂神经后支。"
"157","  第2骶后孔中，约当髂后上棘下与后正中线之间。","  ①月经不调，痛经，带下等妇科疾患；②小便不利，遗精，疝气；③腰骶痛，下肢痿痹。","  直刺 l～1．5寸。","  在臀大肌起始部；当骶外侧动、静脉后支处；为第2骶神经后支通过处。"
